Região,Data-Hora,Latitude [deg],Longitude [deg],numero_pontos,profundidade_min,profundidade_max,n_temperatura,n_salinidade,n_condutividade,n_densidade,n_velocidade_som,arquivo_parquet,tem_temperatura,tem_salinidade,tem_condutividade,tem_densidade,tem_velocidade_som,tem_TS,tem_TS_densidade,tem_TS_velocidade,pontuacao
Costa Norte 2025 Antares,2025-10-09 04:26:47,1.9064,-47.2858,762,5.2,82.6,762,762,0,762,0,costa_norte_2025_antares.parquet,True,True,False,True,False,True,True,False,41.63725803128446
Costa Norte 2025 Antares,2025-10-09 09:25:22,2.245,-46.9933,1491,5.0,1495.0,1491,1491,1348,1491,0,costa_norte_2025_antares.parquet,True,True,True,True,False,True,True,False,57.3078727807637
Costa Norte 2025 Antares,2025-10-09 14:59:29,2.5767,-46.6833,1478,5.0,1482.0,1478,1478,1327,1478,0,costa_norte_2025_antares.parquet,True,True,True,True,False,True,True,False,57.2991214627108
Costa Norte 2025 Antares,2025-10-09 19:58:50,2.9006,-46.3892,1548,5.0,1552.0,1548,1548,1405,1548,0,costa_norte_2025_antares.parquet,True,True,True,True,False,True,True,False,57.34536484041687
Costa Norte 2025 Antares,2025-10-10 00:47:17,2.245,-46.08,1829,5.0,1833.0,1829,1829,1677,1829,0,costa_norte_2025_antares.parquet,True,True,True,True,False,True,True,False,57.512071245835465
Costa Norte 2025 Antares,2025-10-10 05:33:35,3.5817,-45.7833,2266,1.0,2266.0,2266,2266,2103,2266,0,costa_norte_2025_antares.parquet,True,True,True,True,False,True,True,False,57.72621265050753
Costa Norte 2025 Antares,2025-10-10 10:38:36,3.9133,-45.48,2158,3.0,2160.0,2158,2158,1986,2158,0,costa_norte_2025_antares.parquet,True,True,True,True,False,True,True,False,57.67740043051481
Costa Norte 2025 Antares,2025-10-10 15:37:32,4.2494,-45.1756,1994,1.0,1994.0,1994,1994,1854,1994,0,costa_norte_2025_antares.parquet,True,True,True,True,False,True,True,False,57.59839932932397
Costa Norte 2025 Antares,2025-10-10 22:01:27,4.5833,-44.8717,852,5.0,856.0,852,852,754,852,0,costa_norte_2025_antares.parquet,True,True,True,True,False,True,True,False,56.74875954749168
Costa Norte 2025 Antares,2025-10-11 02:38:55,4.9183,-44.5767,1937,1.0,1937.0,1937,1937,1819,1937,0,costa_norte_2025_antares.parquet,True,True,True,True,False,True,True,False,57.56941179245071
Costa Norte 2025 Antares,2025-10-11 08:58:03,5.2517,-44.27,2194,2.0,2195.0,2194,2194,2095,2194,0,costa_norte_2025_antares.parquet,True,True,True,True,False,True,True,False,57.693937325509275
Costa Norte 2025 Antares,2025-10-11 13:13:03,5.5886,-43.9697,2036,7.0,2042.0,2036,2036,1964,2036,0,costa_norte_2025_antares.parquet,True,True,True,True,False,True,True,False,57.619233416226805
